year,month,day,hour,minute,second,northing,easting,depth,latitude,longitude,roll,pitch,heading,altitude,leftimage,rightimage
2009,6,11,6,55,38.39,149.5345100,5.7412677,97.0893566,-42.1454868,148.4821271,0.0281987,0.0028072,-1.4972416,1.9100000,PR_20090611_065538_392_LC16.png,PR_20090611_065538_392_RM16.png
2009,6,11,6,55,39.39,149.1648424,5.7743405,97.0562878,-42.1454901,148.4821275,0.0210158,-0.0017695,-1.4885455,1.9170000,PR_20090611_065539_392_LC16.png,PR_20090611_065539_392_RM16.png
2009,6,11,6,55,40.38,148.8019424,5.8056620,97.0322312,-42.1454934,148.4821280,0.0169655,-0.0043463,-1.4754701,2.0500000,PR_20090611_065540_388_LC16.png,PR_20090611_065540_388_RM16.png
2009,6,11,6,55,41.39,148.4277130,5.8356201,97.0047886,-42.1454967,148.4821284,0.0227838,0.0041157,-1.4660012,2.0500000,PR_20090611_065541_392_LC16.png,PR_20090611_065541_392_RM16.png
2009,6,11,6,55,42.39,148.0638310,5.8820346,96.9905266,-42.1455000,148.4821291,0.0281274,0.0126610,-1.4625371,2.0600000,PR_20090611_065542_392_LC16.png,PR_20090611_065542_392_RM16.png
2009,6,11,6,55,43.39,147.6838717,5.9545029,97.0055363,-42.1455034,148.4821300,0.0297229,0.0135646,-1.4662266,2.0550000,PR_20090611_065543_391_LC16.png,PR_20090611_065543_391_RM16.png
2009,6,11,6,55,44.39,147.2895456,6.0170641,97.0227483,-42.1455070,148.4821309,0.0349623,0.0112256,-1.4625459,2.0650000,PR_20090611_065544_390_LC16.png,PR_20090611_065544_390_RM16.png
2009,6,11,6,55,45.38,146.9039425,6.0700718,97.0416723,-42.1455104,148.4821316,0.0398127,0.0047062,-1.4516166,2.0670000,PR_20090611_065545_388_LC16.png,PR_20090611_065545_388_RM16.png
2009,6,11,6,55,46.38,146.5309699,6.0768095,97.0471585,-42.1455138,148.4821317,0.0395005,0.0022259,-1.4346108,2.0800000,PR_20090611_065546_387_LC16.png,PR_20090611_065546_387_RM16.png
2009,6,11,6,55,47.39,146.1449179,6.0714043,97.0396491,-42.1455172,148.4821318,0.0367385,0.0068626,-1.4125084,2.0580000,PR_20090611_065547_392_LC16.png,PR_20090611_065547_392_RM16.png
2009,6,11,6,55,48.39,145.7617603,6.0674393,97.0273852,-42.1455207,148.4821318,0.0351502,0.0104391,-1.4031182,2.0450000,PR_20090611_065548_392_LC16.png,PR_20090611_065548_392_RM16.png
2009,6,11,6,55,49.39,145.3847357,6.0561820,97.0136367,-42.1455241,148.4821317,0.0331011,0.0096952,-1.4000615,2.0600000,PR_20090611_065549_390_LC16.png,PR_20090611_065549_390_RM16.png
2009,6,11,6,55,50.39,144.9827203,6.0324061,97.0091187,-42.1455277,148.4821315,0.0320623,0.0071261,-1.3992026,2.0600000,PR_20090611_065550_390_LC16.png,PR_20090611_065550_390_RM16.png
2009,6,11,6,55,51.38,144.5773882,6.0349350,97.0152988,-42.1455314,148.4821316,0.0345989,0.0046411,-1.3972518,2.0180000,PR_20090611_065551_389_LC16.png,PR_20090611_065551_389_RM16.png
2009,6,11,6,55,52.39,144.1867187,6.0219144,97.0166992,-42.1455349,148.4821316,0.0384593,0.0036905,-1.3821071,2.0180000,PR_20090611_065552_394_LC16.png,PR_20090611_065552_394_RM16.png
2009,6,11,6,55,53.39,143.8040788,5.9709606,97.0197920,-42.1455383,148.4821310,0.0414945,0.0072837,-1.3606027,2.0100000,PR_20090611_065553_391_LC16.png,PR_20090611_065553_391_RM16.png
2009,6,11,6,55,54.39,143.4260132,5.8872446,97.0234034,-42.1455418,148.4821301,0.0382176,0.0116059,-1.3371630,2.0300000,PR_20090611_065554_393_LC16.png,PR_20090611_065554_393_RM16.png
2009,6,11,6,55,55.39,143.0514291,5.8108756,97.0296351,-42.1455451,148.4821293,0.0309535,0.0142207,-1.3402380,2.0100000,PR_20090611_065555_393_LC16.png,PR_20090611_065555_393_RM16.png
2009,6,11,6,55,56.39,142.6706693,5.7407189,97.0478447,-42.1455486,148.4821285,0.0276190,0.0124632,-1.3571833,2.0300000,PR_20090611_065556_391_LC16.png,PR_20090611_065556_391_RM16.png
2009,6,11,6,55,57.39,142.2833985,5.6870345,97.0653840,-42.1455521,148.4821279,0.0317223,0.0121816,-1.3790028,2.0200000,PR_20090611_065557_390_LC16.png,PR_20090611_065557_390_RM16.png
2009,6,11,6,55,58.39,141.8988258,5.6700126,97.0789496,-42.1455555,148.4821278,0.0340281,0.0118195,-1.4094926,2.0200000,PR_20090611_065558_394_LC16.png,PR_20090611_065558_394_RM16.png
