cpc_code,caab_code
UNID165,20000903
UNID166,10000902
UNID167,10000914
UNID168,10000902
UNID169,10000915
UNID17,10000911
UNID170,10000914
UNID171,10000904
UNID172,10000904
UNID173,10000904
UNID174,10000906
UNID18,10000905
UNID19,10000904
UNID2,10000904
UNID20,10000915
UNID21,10000904
UNID22,10000904
UNID24,10000902
UNID25,10000914
UNID26,10000915
UNID27,10000915
UNID28,10000908
UNID29,35000903
UNID3,10000911
UNID30,80300929
UNID31,10000904
UNID32,13000000
UNID33,10000908
UNID34,22000901
UNID35,10000910
UNID36,10000907
UNID37,10000904
UNID38,10000911
UNID39,10000904
UNID4,10000911
UNID40,10000904
UNID41,10000902
UNID42,10000904
UNID44,10000910
UNID45,10000915
UNID46,10000904
UNID47,10000913
UNID49,10000904
UNID5,11168910
UNID50,80300905
UNID51,10000915
UNID52,10000904
UNID53,10000913
UNID54,10000913
UNID55,10000913
UNID56,10000913
UNID57,10000904
UNID58,10000910
UNID59,10000915
UNID6,10000917
UNID60,10000904
UNID61,10000904
UNID62,10000904
UNID63,10000902
UNID64,10000915
UNID65,10000902
UNID68,10000913
UNID69,10000911
UNID7,35000902
UNID71,10000915
UNID75,10000914
UNID76,10000915
UNID78,10000904
UNID8,12000000
UNID81,10000915
UNID82,20000905
UNID83,10000913
UNID84,10000904
UNID85,11001000
UNID86,10000902
UNID87,10000914
UNID88,10000902
UNID89,10000904
UNID9,10000907
UNID92,10000910
UNID93,10000904
UNID95,10000915
UNID97,10000904
UNID98,10000917
UNID99,10000902
UNK,80000000
UnkElsmo,37990082
UnkFish,37000000
UnkTeleost,37990083
UNS,ROOT
URCH,25200901
VOL,24000000
YFF1,10000915
YSS1,10000904
ZOO1,11284000
SLOPE,ROOT
SUB,ROOT
FISH,37000000
RUG,ROOT
UNID,ROOT
ID,ROOT
SIZE,ROOT
