cpc_code,caab_code,label_id,description
FMY,11305923,302,Cnidaria: Corals: Stony corals: Foliose / plate: Mycedium
CEN,11290908,137,Cnidaria: Corals: Stony corals: Encrusting
EMU,11290908,137,Cnidaria: Corals: Stony corals: Encrusting
EISO,11291905,378,Cnidaria: Corals: Stony corals: Encrusting: Isopora
EPAV,11297905,380,Cnidaria: Corals: Stony corals: Encrusting: Pavona 
ETR,11320013,305,Cnidaria: Corals: Stony corals: Encrusting: Turbinaria radicalis 
ETS,11320015,306,Cnidaria: Corals: Stony corals: Encrusting: Turbinaria  stellulata 
CDIG,11290909,138,Cnidaria: Corals: Stony corals: Digitate
CCOR,11290910,139,Cnidaria: Corals: Stony corals: Corymbose
CBR,11290912,141,Cnidaria: Corals: Stony corals: Branching
BARR,11291103,388,Cnidaria: Corals: Stony corals: Branching: Acropora robusta 
BPOC,11293000,309,Cnidaria: Corals: Stony corals: Branching: Pocilloporidae 
BPO,11293901,390,Cnidaria: Corals: Stony corals: Branching: Pocillopora
BPD,11293003,391,Cnidaria: Corals: Stony corals: Branching: Pocillopora damicornis 
BPA,11293020,392,Cnidaria: Corals: Stony corals: Branching: Pocillopora aliciae
BSH,11293016,393,Cnidaria: Corals: Stony corals: Branching: Seriatopora  hystrix 
BSTY,11293903,394,Cnidaria: Corals: Stony corals: Branching: Stylophora
CSO,11290901,131,Cnidaria: Corals: Stony corals: Solitary / mushroom
CSOFL,11290902,132,Cnidaria: Corals: Stony corals: Solitary / mushroom: Free-living
CSOA,11290903,133,Cnidaria: Corals: Stony corals: Solitary / mushroom: Attached
OCT,11168901,143,Cnidaria: Corals: Black & Octocorals
OW,11168917,144,Cnidaria: Corals: Black & Octocorals: Whip
OQ,11168918,145,Cnidaria: Corals: Black & Octocorals: Quill (seapen)
OF,11168912,146,Cnidaria: Corals: Black & Octocorals: Fan (2D)
OFR,11168916,147,Cnidaria: Corals: Black & Octocorals: Fan (2D): Rigid
OFF,11168913,148,Cnidaria: Corals: Black & Octocorals: Fan (2D): Fern-frond
OFFS,11168914,149,Cnidaria: Corals: Black & Octocorals: Fan (2D): Fern-frond: Simple
OFFC,11168915,150,Cnidaria: Corals: Black & Octocorals: Fan (2D): Fern-frond: Complex
OE,11168919,151,Cnidaria: Corals: Black & Octocorals: Encrusting
OM,11168920,310,Cnidaria: Corals: Black & Octocorals: Massive 
OB,11168902,152,Cnidaria: Corals: Black & Octocorals: Branching (3D)
OBN,11168903,153,Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-fleshy
OBNB,11168908,154,Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-fleshy: Bushy
