auv_image_name,mod_image_name
PR_20101021_053626_245_LC16,HSthBroad2010_T20b
PR_20101021_053650_247_LC16,HSthBroad2010_T20c
PR_20101021_053714_230_LC16,HSthBroad2010_T20d
PR_20101021_053739_225_LC16,HSthBroad2010_T20e
PR_20101021_053803_218_LC16,HSthBroad2010_T20f
PR_20101021_053829_218_LC16,HSthBroad2010_T20g
PR_20101021_053854_214_LC16,HSthBroad2010_T20h
PR_20101021_053919_236_LC16,HSthBroad2010_T20i
PR_20101021_053942_224_LC16,HSthBroad2010_T20j
PR_20101021_054442_106_LC16,HSthBroad2010_T21a
PR_20101021_054512_136_LC16,HSthBroad2010_T21b
PR_20101021_054538_079_LC16,HSthBroad2010_T21c
PR_20101021_054603_073_LC16,HSthBroad2010_T21d
PR_20101021_054626_063_LC16,HSthBroad2010_T21e
PR_20101021_054648_106_LC16,HSthBroad2010_T21f
PR_20101021_054711_092_LC16,HSthBroad2010_T21g
PR_20101021_054735_057_LC16,HSthBroad2010_T21h
PR_20101021_054759_076_LC16,HSthBroad2010_T21i
PR_20101021_054825_021_LC16,HSthBroad2010_T21j
PR_20101021_054851_018_LC16,HSthBroad2010_T22a
PR_20101021_054915_010_LC16,HSthBroad2010_T22b
PR_20101021_054939_016_LC16,HSthBroad2010_T22c
PR_20101021_055000_989_LC16,HSthBroad2010_T22d
PR_20101021_055024_003_LC16,HSthBroad2010_T22e
PR_20101021_055046_013_LC16,HSthBroad2010_T22f
PR_20101021_055106_972_LC16,HSthBroad2010_T22g
PR_20101021_055128_013_LC16,HSthBroad2010_T22h
PR_20101021_055149_968_LC16,HSthBroad2010_T22i
PR_20101021_055211_954_LC16,HSthBroad2010_T22j
PR_20101021_055234_956_LC16,HSthBroad2010_T23a
PR_20101021_055258_449_LC16,HSthBroad2010_T23b
PR_20101021_055321_435_LC16,HSthBroad2010_T23c
PR_20101021_055343_447_LC16,HSthBroad2010_T23d
PR_20101021_055405_451_LC16,HSthBroad2010_T23e
PR_20101021_055426_425_LC16,HSthBroad2010_T23f
PR_20101021_055446_443_LC16,HSthBroad2010_T23g
PR_20101021_055508_405_LC16,HSthBroad2010_T23h
PR_20101021_055531_408_LC16,HSthBroad2010_T23i
PR_20101021_055555_385_LC16,HSthBroad2010_T23j
PR_20101021_055618_386_LC16,HSthBroad2010_T24a
PR_20101021_055639_384_LC16,HSthBroad2010_T24b
PR_20101021_055701_371_LC16,HSthBroad2010_T24c
PR_20101021_055723_358_LC16,HSthBroad2010_T24d
PR_20101021_055747_351_LC16,HSthBroad2010_T24e
PR_20101021_055811_358_LC16,HSthBroad2010_T24f
PR_20101021_055836_340_LC16,HSthBroad2010_T24g
PR_20101021_055901_337_LC16,HSthBroad2010_T24h
PR_20101021_055924_343_LC16,HSthBroad2010_T24i
PR_20101021_055946_324_LC16,HSthBroad2010_T24j
PR_20101021_060004_332_LC16,HSthBroad2010_T25a
PR_20101021_060034_310_LC16,HSthBroad2010_T25b
PR_20101021_060100_297_LC16,HSthBroad2010_T25c
PR_20101021_060125_315_LC16,HSthBroad2010_T25d
PR_20101021_060149_285_LC16,HSthBroad2010_T25e
PR_20101021_060213_300_LC16,HSthBroad2010_T25f
PR_20101021_060236_267_LC16,HSthBroad2010_T25g
PR_20101021_060301_264_LC16,HSthBroad2010_T25h
PR_20101021_060325_276_LC16,HSthBroad2010_T25i
PR_20101021_060349_269_LC16,HSthBroad2010_T25j
PR_20101021_060413_240_LC16,HSthBroad2010_T26a
PR_20101021_060437_254_LC16,HSthBroad2010_T26b
PR_20101021_060504_263_LC16,HSthBroad2010_T26c
PR_20101021_060531_221_LC16,HSthBroad2010_T26d
PR_20101021_060558_234_LC16,HSthBroad2010_T26e
PR_20101021_060623_205_LC16,HSthBroad2010_T26f
